State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.63430	0.63066	0.63385	0.63476	0.63521	0.63157	0.64112	0.64749	0.64612	0.65067	0.65476	0.65567	0.65476	0.65203	0.64840	0.65067	0.65294	0.64885	0.64976	0.64885	0.65067
2	0.53525	0.53680	0.53771	0.53914	0.54083	0.54238	0.54718	0.55328	0.56119	0.56443	0.57241	0.57928	0.58764	0.59394	0.59997	0.60885	0.61858	0.62772	0.63375	0.64335	0.65120
3	3.17144	3.22822	3.22416	3.24850	3.16739	3.13494	3.13089	3.12683	3.09439	2.94028	2.84700	2.88350	2.77805	2.78211	2.75778	2.66450	2.66855	2.69694	2.66855	2.62800	2.62800
4	1.25415	1.24969	1.24421	1.24181	1.25106	1.25757	1.24592	1.25346	1.25860	1.27847	1.28703	1.28018	1.28292	1.27950	1.28532	1.28772	1.27915	1.27778	1.27847	1.27847	1.27504
5	4.65462	4.67434	4.59545	4.57573	4.75323	4.51656	4.29960	3.94459	3.58958	3.31346	2.50482	2.13008	2.38648	2.32731	2.38648	2.60343	2.72177	2.68232	2.56398	2.76121	2.91900
6	3.05236	2.88196	3.03754	2.91900	2.75601	2.80046	2.76342	2.78565	2.64488	2.74860	2.70415	2.83751	2.67452	2.75601	2.77824	2.75601	2.83010	2.80046	2.66711	2.74119	2.76342
7	4.45665	4.48402	4.26050	4.15559	4.04611	3.84540	3.66294	3.50785	3.40749	3.30714	3.28889	3.15661	3.13836	3.13380	3.08818	3.08362	3.04257	3.12011	3.00607	3.09730	3.10187
8	1.38923	1.34383	1.33475	1.32113	1.27573	1.42555	1.42101	1.51635	1.62984	1.69340	1.67978	1.83414	1.85684	1.78420	1.78420	1.77512	1.77058	1.74788	1.77512	1.70702	1.76604
9	1.18686	1.21013	1.21512	1.21512	1.24504	1.26499	1.28660	1.26998	1.35475	1.41792	1.41293	1.41293	1.35641	1.37969	1.45948	1.43288	1.48940	1.40296	1.46779	1.48275	1.43787
10	1.75399	1.70582	1.67772	1.68575	1.83025	1.84630	1.94263	2.00685	1.91453	1.81820	1.70582	1.68174	1.46099	1.41282	1.41683	1.41683	1.42486	1.50112	1.54126	1.46099	1.49309
11	0.86186	0.84782	0.84870	0.81710	0.79077	0.76795	0.73723	0.71968	0.69511	0.66702	0.63016	0.61348	0.62489	0.61524	0.60471	0.60208	0.60471	0.60120	0.62753	0.63806	0.63455
12	5.44644	5.63082	5.64028	5.85776	5.94759	6.07524	6.20289	6.13670	6.14143	5.80575	5.62137	5.90976	5.82466	5.83885	5.67810	5.48426	5.34715	5.19586	4.95475	4.83655	4.65217
13	3.14339	3.14081	3.14727	3.14555	3.14253	3.13090	3.10462	3.08264	3.04688	3.04645	3.03137	2.95770	2.92453	2.88015	2.81983	2.77330	2.70652	2.65741	2.61820	2.56736	2.51997
14	1.66491	1.57547	1.60987	1.67866	1.49979	1.65115	1.96762	1.89882	1.85754	1.85066	2.00889	2.20841	2.16025	2.19465	2.29096	2.14649	2.04329	2.02953	2.08457	1.89882	1.82314
15	0.69565	0.69684	0.70121	0.70200	0.70319	0.69446	0.68772	0.68295	0.68137	0.68891	0.70637	0.70835	0.73891	0.75121	0.76351	0.78653	0.79566	0.81312	0.81629	0.81947	0.83653
