State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.46710	0.46189	0.45346	0.44262	0.43701	0.42898	0.41253	0.40169	0.39206	0.37721	0.37762	0.38002	0.38363	0.38524	0.38965	0.39648	0.40290	0.40932	0.41012	0.41132	0.41534
2	0.45544	0.43455	0.41418	0.39123	0.36559	0.33600	0.30865	0.28633	0.26933	0.25920	0.25376	0.25525	0.25960	0.26509	0.27288	0.28329	0.29657	0.30830	0.32072	0.32953	0.33858
3	5.81624	6.46766	7.05823	7.68817	8.09978	8.65456	8.51497	8.21074	7.64880	7.69175	7.86713	7.54858	7.67028	8.01746	8.56866	8.95164	9.11270	9.10912	8.76552	8.21074	7.69533
4	1.62112	1.57184	1.51197	1.43458	1.35325	1.21508	1.09264	0.95689	0.84533	0.78698	0.77125	0.76339	0.78002	0.83384	0.89158	0.96082	1.03731	1.10050	1.15885	1.22687	1.27646
5	4.64753	5.03047	6.07486	7.17147	9.46912	11.97566	16.20543	21.20109	26.10971	26.99744	27.34557	31.38388	32.16717	29.78248	25.81380	20.99221	16.71022	13.03745	10.18279	8.12882	6.61446
6	4.31540	5.03463	6.04810	8.69618	11.99158	16.95428	23.58430	28.28547	31.44356	36.43896	37.54396	25.43469	20.95583	18.20313	16.20890	13.90735	10.71657	7.80695	5.67540	4.00155	3.24309
7	5.90989	7.05724	8.74808	11.16356	14.81095	19.29570	24.78690	31.08326	37.25080	38.20894	39.24357	47.39986	49.16316	48.43449	45.27826	38.28543	30.14927	23.11216	17.70148	13.81255	10.81734
8	2.42407	2.50020	2.56832	2.79670	2.90889	3.27350	3.57000	3.56199	3.25347	2.45212	1.77498	1.63475	1.43842	1.31421	1.32222	1.32222	1.34626	1.38633	1.33825	1.41037	1.38232
9	1.78538	1.89981	2.04065	2.00397	2.07586	2.03625	1.85287	1.60934	1.36434	1.21324	1.12228	0.99025	0.87142	0.85382	0.89929	1.05040	1.11935	1.17656	1.23965	1.22644	1.21617
10	4.96628	5.42678	5.56493	5.32405	4.53412	3.53874	2.31665	1.81365	1.51255	1.34253	1.29293	1.23626	1.40274	1.95888	3.73357	7.98785	12.57865	15.26370	16.02529	15.35226	14.34979
11	1.39424	1.21919	1.04878	0.87295	0.69480	0.55460	0.49263	0.44306	0.42060	0.41750	0.42447	0.43144	0.45003	0.47327	0.51897	0.65762	0.98604	1.51817	2.14713	2.77454	3.27105
12	1.51045	1.42283	1.26428	1.13910	1.07234	1.01392	0.96385	0.93047	0.90961	0.93882	0.99723	1.06817	1.07234	1.13493	1.16413	1.24341	1.36859	1.61059	1.92353	2.22813	2.71214
13	0.89736	0.84716	0.79355	0.72815	0.66161	0.59849	0.53081	0.46921	0.41332	0.38936	0.37795	0.38290	0.39468	0.42016	0.45324	0.49849	0.58632	0.70001	0.82587	0.95021	1.06352
14	1.82152	1.92474	1.76080	1.69401	1.54829	1.49365	1.26292	1.11113	1.07470	1.59080	1.39650	0.80754	0.64360	0.64968	0.62539	0.77111	0.91683	0.98362	1.08684	1.10506	1.15363
15	2.05058	2.07755	2.09471	2.06529	1.94796	1.74098	1.40686	1.03912	0.71201	0.59574	0.57297	0.52954	0.55826	0.60624	0.65597	0.72112	0.77400	0.81358	0.82654	0.85490	0.85245
