State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.69003	0.38088	0.49593	0.62664	0.65483	0.37763	0.42770	1.46437
2	53.92104	0.09603	0.49514	0.78366	0.57247	0.25377	0.35336	1.20729
3	0.86218	17.94568	3.49964	1.14310	2.84730	7.86738	8.26021	0.69392
4	10.20706	0.51016	1.10548	0.95660	1.28717	0.77128	1.19667	1.02755
5	0.17729	68.52293	7.35923	1.30334	2.50508	27.34642	16.91287	0.71794
6	0.47197	36.34942	4.86005	1.06524	2.70443	37.54512	15.45255	0.45595
7	0.76654	41.99576	7.12082	1.81736	3.28924	39.24076	23.02246	0.18583
8	0.77019	0.37604	1.32181	1.14063	1.67996	1.77504	2.18946	0.41839
9	2.10352	0.18589	1.12722	1.08200	1.41308	1.12232	1.47795	0.58763
10	0.87117	0.64872	1.63489	2.21318	1.70600	1.29297	5.30267	0.13848
11	3.98403	0.41135	0.97692	2.24911	0.63023	0.42448	0.95459	0.16559
12	0.73959	0.59185	6.20822	2.07718	5.61723	0.99726	1.27300	0.11560
13	8.11588	0.47301	3.35960	2.13170	3.03083	0.37797	0.64959	0.29413
14	0.50825	1.09365	1.53881	1.02049	2.00910	1.39654	1.28488	0.83776
15	8.81127	0.22707	0.54301	0.75474	0.70644	0.57299	1.16869	0.77537
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
