State (Emission order)	H3k09me3	H3k36me3	H4k20me1	H3k9me1	H3k79me2	Pol2b	H3k27ac	H3k9ac	H3k4me3	H2az	H3k4me2	H3k4me1	Ctcf	Ezh239875	H3k27me3
1	0.11825512008195393	0.0013076251582652479	0.0013547856385230938	4.373339126056682E-4	3.039051906790293E-4	0.0018457299987332204	8.87379471953376E-5	2.0971114680306597E-4	4.21443627722837E-4	9.779671247148029E-4	2.7246673653806193E-5	1.358367167006402E-4	0.0019390783936573805	0.0020513751959395613	0.0018899773236927362
2	0.003144911559782192	4.913153871632722E-4	8.969555454743055E-4	9.31196441254503E-4	7.287323382624696E-5	0.0010565867927296803	1.7198658244439143E-5	1.827968972148075E-4	3.70807798283039E-5	0.0010452786529597915	3.172438280379084E-5	2.075954928428894E-4	9.154727954895084E-4	0.004833544037534202	0.0021162636173017984
3	0.015143933660965638	3.1454064601699585E-4	0.004187738265530455	0.0021001448917652853	0.0010990424945713252	0.006192348142568064	3.3340201246029196E-5	6.912857587902073E-4	0.005970688570449075	0.012044649459048406	0.012509956018318657	0.01332018047415503	0.01953592082065112	0.7487161981231901	0.6869210739420123
4	0.0022804958490317707	1.2212331862398329E-4	0.0017247214054051262	0.0017702069057945395	8.491242532125858E-5	0.0023142026156550482	6.6523814435348096E-6	3.9954373958881205E-4	1.1146475643581924E-4	0.0020173578614179227	2.4238171354478831E-4	0.0012617767671371273	0.0018619967507787108	0.05794671624878525	0.07282570132303694
5	0.030462073249339222	0.006136551455339964	0.00959063121105193	0.012775661002034481	0.017165823428641116	0.03508732578048817	0.008630955740136705	0.1325579736725177	0.6827052855858486	0.49218150056516763	0.8165255871502363	0.23481796448395348	0.10632320815912856	0.9453061007037973	0.7064630226552386
6	0.005211716710656842	0.0011770916150663875	7.591427945270797E-4	0.005458099699363318	0.03300782092241423	0.034163008014513815	0.07857177227218021	0.30537005098393954	0.591484810728846	0.6674085319243365	0.7350212414246224	0.313921667417119	0.15446228794177533	0.12234294134001047	0.017951078453672033
7	0.001985670696250168	0.054853000094069244	0.03917044077436229	0.012023856040569202	0.652272521309896	0.4238324257683126	0.9119293710310754	0.9790550019230593	0.9917646945110499	0.6527226467100484	0.8318571054375313	0.2931389336299247	0.12003977081957692	0.02825034886368043	0.0030742564318196135
8	0.0026486498524240817	0.028674188369049166	0.003551212669027841	0.023467872003704947	0.017501730317850902	0.239293602122817	0.9087347737958053	0.41398066777205983	0.27320564369215544	0.5752301018878703	0.8705134403680157	0.9433253273348204	0.08231676386478158	0.02898418644122873	3.3673318648575986E-4
9	0.008125955962797807	0.017439774226230907	0.0025198577338023643	0.014323879070257266	0.007948149694195059	0.03938066385626071	0.1280094696881498	0.007626940962443328	0.0026704074572683734	0.3086093011894457	0.24185987143053128	0.7748737916322648	0.03075811378952848	0.03491432837803533	0.002224171775203008
10	0.00294527762283471	0.20337356051557853	0.10998934021265243	0.07809312603325072	0.912396050409759	0.17557018862802454	0.3706560239181417	0.12992277157989826	0.18698609103963673	0.07289836136090612	0.570177644063685	0.81150104768429	0.04266892709063811	0.01684489636849942	6.911905614605498E-4
11	0.0051109284249412894	0.09744251699658567	0.044745858976570144	0.01849007329460158	0.797269758378879	0.02319201396669695	0.003892965469147705	0.0011595461447086344	1.3117648720071084E-4	0.002959476405543724	0.002245490698523926	0.025175782346931963	0.009195418946288485	0.006411771967017404	5.384543958295066E-4
12	0.08054929391145595	0.5811652717371257	0.1306130759795334	0.047955992889205296	0.5944899221521376	0.396756393795306	0.02522759416107514	0.007237520033143372	0.014057015419524406	0.0047620689637324345	0.0032634241723647228	0.05337506331408878	0.04674408459798137	0.024790757423401897	0.0035981203199883165
13	0.001299782554590801	0.1307804651539799	0.005288202787823269	0.006183531035874217	0.03925150445170083	0.016652175262966074	8.261272569967374E-4	7.288050289835527E-4	4.627395949066831E-5	5.881579367520183E-4	6.660085027476014E-5	0.002775188789882633	0.005676543891387771	0.004709943497452184	2.685900965082055E-4
14	0.006188769494254039	0.009384367624286594	0.0172406337058541	0.004832314127050623	0.002489832567038753	0.01850095192601272	0.0013707146338486733	0.002678172544362675	5.884716580867183E-4	0.0842416899910653	0.024194573162820192	0.030977671112977327	0.8957373815049786	0.08326294409844089	0.013250059166804896
15	0.003360258165752319	6.95936273865801E-4	5.092114620312454E-4	0.002220258136871692	3.68667108951464E-4	0.003077856474636051	1.666603697848793E-4	5.598158856179681E-4	9.708438968969269E-5	0.08489817512950157	3.128134558222856E-4	0.004693108180135744	0.001905293302139089	0.012323769506801068	0.001907573888965075
