15	15	E	-1.1137257102145417E7	200
probinit	1	3.164115365090365E-293
probinit	2	1.0
probinit	3	0.0
probinit	4	1.1756280809822301E-59
probinit	5	0.0
probinit	6	9.35738435566062E-249
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	9.8397970881582E-240
transitionprobs	1	1	0.9822008696632009
transitionprobs	1	2	0.013132414019065348
transitionprobs	1	3	1.3373600668413412E-4
transitionprobs	1	4	8.606865591818931E-4
transitionprobs	1	5	1.247074218553596E-4
transitionprobs	1	6	1.136040912879683E-4
transitionprobs	1	7	4.524715660859459E-6
transitionprobs	1	8	1.9337620877834776E-5
transitionprobs	1	9	0.0013078839145011774
transitionprobs	1	10	0.0
transitionprobs	1	11	6.676476248146317E-6
transitionprobs	1	12	9.417588739681853E-4
transitionprobs	1	13	9.099692507968215E-5
transitionprobs	1	14	2.782935745033569E-4
transitionprobs	1	15	7.845101378852877E-4
transitionprobs	2	1	0.002054971624806982
transitionprobs	2	2	0.9861894121583846
transitionprobs	2	3	0.0
transitionprobs	2	4	0.0026187252027102064
transitionprobs	2	5	7.056183691189971E-7
transitionprobs	2	6	2.5957637244518794E-4
transitionprobs	2	7	4.802402027055139E-6
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0017797523706508862
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	7.712529429432173E-4
transitionprobs	2	14	0.002244711272576187
transitionprobs	2	15	0.004076090035086508
transitionprobs	3	1	0.0013438230326550465
transitionprobs	3	2	0.0
transitionprobs	3	3	0.8498525107514325
transitionprobs	3	4	0.10838891111053449
transitionprobs	3	5	0.03715239526346629
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	8.807657379139612E-4
transitionprobs	3	10	0.0
transitionprobs	3	11	7.869920875973099E-5
transitionprobs	3	12	0.0
transitionprobs	3	13	4.973430428304633E-4
transitionprobs	3	14	0.0018055518524073893
transitionprobs	3	15	0.0
transitionprobs	4	1	6.263537659415142E-4
transitionprobs	4	2	0.01252901766408426
transitionprobs	4	3	0.00895837496856321
transitionprobs	4	4	0.9643137289476758
transitionprobs	4	5	3.4119274058558687E-4
transitionprobs	4	6	0.001625597963370859
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.003277177141694798
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	0.006775303591953758
transitionprobs	4	15	0.001553253216130436
transitionprobs	5	1	0.005049794661847086
transitionprobs	5	2	8.861417163457317E-5
transitionprobs	5	3	0.1904730758107618
transitionprobs	5	4	0.01740996511523106
transitionprobs	5	5	0.737028322279774
transitionprobs	5	6	0.03826116980614196
transitionprobs	5	7	0.0
transitionprobs	5	8	8.392487512334155E-5
transitionprobs	5	9	0.0034808425890493107
transitionprobs	5	10	3.97366704143964E-4
transitionprobs	5	11	3.1368342527000556E-4
transitionprobs	5	12	0.0
transitionprobs	5	13	4.535137907094512E-4
transitionprobs	5	14	0.004968140847325786
transitionprobs	5	15	0.0019915859229876864
transitionprobs	6	1	0.0027576784207442922
transitionprobs	6	2	0.026500304561774612
transitionprobs	6	3	0.0
transitionprobs	6	4	0.036817728052394756
transitionprobs	6	5	0.013690072725117023
transitionprobs	6	6	0.6499879643661179
transitionprobs	6	7	0.11208536558994103
transitionprobs	6	8	0.002066886050998187
transitionprobs	6	9	0.04242994956714085
transitionprobs	6	10	0.0023074857894806846
transitionprobs	6	11	0.0014371904968900615
transitionprobs	6	12	2.0048031601161044E-4
transitionprobs	6	13	0.009489453527974402
transitionprobs	6	14	0.019032278041169248
transitionprobs	6	15	0.08119716249424527
transitionprobs	7	1	0.0
transitionprobs	7	2	9.675461788499561E-5
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0
transitionprobs	7	5	0.0
transitionprobs	7	6	0.07109199776240761
transitionprobs	7	7	0.8449947052807454
transitionprobs	7	8	0.015433428943232897
transitionprobs	7	9	0.0
transitionprobs	7	10	0.0625330003271799
transitionprobs	7	11	0.001313100322422981
transitionprobs	7	12	0.0
transitionprobs	7	13	0.001036294535953716
transitionprobs	7	14	2.983236838139322E-4
transitionprobs	7	15	0.003202394526358505
transitionprobs	8	1	1.1588467997748575E-4
transitionprobs	8	2	2.7597165857209302E-8
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	1.7357096790018207E-5
transitionprobs	8	6	0.0017665076747355635
transitionprobs	8	7	0.015133207844651627
transitionprobs	8	8	0.7492894942862618
transitionprobs	8	9	0.20380569341897417
transitionprobs	8	10	0.016993520704375813
transitionprobs	8	11	1.913367827091737E-5
transitionprobs	8	12	0.0
transitionprobs	8	13	0.003819615917267355
transitionprobs	8	14	0.0014110049945563706
transitionprobs	8	15	0.007628552106973214
transitionprobs	9	1	0.004771301570665644
transitionprobs	9	2	0.04321011366710476
transitionprobs	9	3	4.8054610354930915E-4
transitionprobs	9	4	0.01627172607057803
transitionprobs	9	5	2.3566241912902205E-4
transitionprobs	9	6	0.008848429666196374
transitionprobs	9	7	0.0
transitionprobs	9	8	0.07416505686979197
transitionprobs	9	9	0.6733872236580981
transitionprobs	9	10	0.00414353536872381
